cultur_val_ID,region_id,region,eng_question,question,topic,option_A,option_B,option_C,correct,Predicted
Al-en-34,Wes_13,Western,What do people do to celebrate New Year's Day in your country?,What do people do to celebrate New Year's Day in the UK?,Holidays/Celebration/Leisure,['have a roast dinner family meal'],"[""pay a new year's visit"", 'new year greetings']",nothing,A,B
Al-en-34,Wes_13,Western,What do people do to celebrate New Year's Day in your country?,What do people do to celebrate New Year's Day in the UK?,Holidays/Celebration/Leisure,nothing,"['watch fireworks', 'fireworks']",['have the reunion dinner'],B,B
Al-en-43,Wes_20,Western,What is a popular indoor activity for families in your country?,What is a popular indoor activity for families in the UK?,Holidays/Celebration/Leisure,['fight the landlord'],['boardgames'],nothing,B,B
Al-en-43,Wes_20,Western,What is a popular indoor activity for families in your country?,What is a popular indoor activity for families in the UK?,Holidays/Celebration/Leisure,['fight the landlord'],"['xbox', 'xbox or ps']",nothing,B,B
An-ar-36,Wes_27,Western,What is the most popular sport team in your country?,What is the most popular sport team in the UK?,Sport,"['mc algiers', 'mc alger', ""mouloudia club d'alger"", ""d'alger"", 'mca', 'mouloudia']","['manchester united', 'manchester utd', 'manchester united']",['real madrid'],B,B
An-ar-36,Wes_27,Western,What is the most popular sport team in your country?,What is the most popular sport team in the UK?,Sport,"['mc algiers', 'mc alger', ""mouloudia club d'alger"", ""d'alger"", 'mca', 'mouloudia']",['real madrid'],['liverpool'],C,C
Ca-sp-09,Wes_32,Western,What do people from your country usually eat for dessert?,What do people from the UK usually eat for dessert?,Food,nothing,['hot pudding'],['osmanthus cake'],B,A
Ca-sp-09,Wes_32,Western,What do people from your country usually eat for dessert?,What do people from the UK usually eat for dessert?,Food,['yoghurt'],['osmanthus cake'],nothing,A,C
Gu-ch-05,Wes_43,Western,What sports do seniors like the most in your country?,What sports do seniors like the most in the UK?,Sport,"['bowls', 'crown green bowls']","['football', 'soccer']",nothing,A,A
Gu-ch-05,Wes_43,Western,What sports do seniors like the most in your country?,What sports do seniors like the most in the UK?,Sport,['bowling'],"['square dance', 'square dancing']",nothing,A,A
Gu-ch-09,Wes_47,Western,What sports do women like to play the most in your country?,What sports do women like to play the most in the UK?,Sport,['dance'],['running'],"['football', 'soccer']",C,B
Gu-ch-09,Wes_47,Western,What sports do women like to play the most in your country?,What sports do women like to play the most in the UK?,Sport,['tennis'],['badminton'],nothing,A,A
Ji-ko-25,Wes_69,Western,What are the family-related holidays in your country?,What are the family-related holidays in the UK?,Family,['easter'],nothing,"['spring festival', 'chinese new year', 'lunar new year']",A,A
Ji-ko-25,Wes_69,Western,What are the family-related holidays in your country?,What are the family-related holidays in the UK?,Family,['mid-autumn festival'],nothing,['christmas'],C,C
Ji-ko-45,Wes_86,Western,What do people look forward to the most at university festivals in your country?,What do people look forward to the most at university festivals in the UK?,Education,['music'],['party'],nothing,A,A
Ji-ko-45,Wes_86,Western,What do people look forward to the most at university festivals in your country?,What do people look forward to the most at university festivals in the UK?,Education,['pub crawl'],nothing,['national day'],A,A
Jo-sp-19,Wes_93,Western,What region in your country has been traditionally associated with agriculture?,What region in the UK has been traditionally associated with agriculture?,Work life,['yorkshire'],['henan'],['mitidja'],A,A
Jo-sp-19,Wes_93,Western,What region in your country has been traditionally associated with agriculture?,What region in the UK has been traditionally associated with agriculture?,Work life,"['northeast', 'northeast plain']",['oxfordshire'],['mitidja'],B,A
Jod-ch-04,Wes_102,Western,What soft drink do people in your country like to have?,What soft drink do people in the UK like to have?,Food,['squash'],['oriental leaf'],['selecto'],A,A
Jod-ch-04,Wes_102,Western,What soft drink do people in your country like to have?,What soft drink do people in the UK like to have?,Food,"['hammoud boualem', 'hamoud boualem']",['lemonade'],['oriental leaf'],B,B
Jod-ch-54,Wes_120,Western,"How long (in days) is the marriage leave in your country? (Provide Arabic numerals (e.g., 12) only.)","How long (in days) is the marriage leave in the UK? (Provide Arabic numerals (e.g., 12) only.)",Work life,nothing,['4'],['14'],C,C
Jod-ch-54,Wes_120,Western,"How long (in days) is the marriage leave in your country? (Provide Arabic numerals (e.g., 12) only.)","How long (in days) is the marriage leave in the UK? (Provide Arabic numerals (e.g., 12) only.)",Work life,['0'],['3'],['4'],A,B
Jod-ch-58,Wes_123,Western,Which profession is the most respected in your country?,Which profession is the most respected in the UK?,Work life,"['fireman', 'firefighter']",['firefighter'],['police'],C,A
Jod-ch-58,Wes_123,Western,Which profession is the most respected in your country?,Which profession is the most respected in the UK?,Work life,['firefighter'],"['doctor', 'doctors']",nothing,B,B
Ki-pe-32,Wes_130,Western,What food do the hosts usually prepare for the guests in your country?,What food do the hosts usually prepare for the guests in the UK?,Food,['buffet'],['rice'],['traditional dishes'],A,A
Ki-pe-32,Wes_130,Western,What food do the hosts usually prepare for the guests in your country?,What food do the hosts usually prepare for the guests in the UK?,Food,['cake'],['rice'],['traditional dishes'],A,A
Ki-pe-36,Wes_132,Western,"Except the food original from your country, which country's food is more popular in your country?","Except the food original from the UK, which country's food is more popular in the UK?",Food,['france'],"['turkey', 'türkiye']",['indian'],C,C
Ki-pe-36,Wes_132,Western,"Except the food original from your country, which country's food is more popular in your country?","Except the food original from the UK, which country's food is more popular in the UK?",Food,"['turkey', 'türkiye']",['france'],['chinese'],C,A
Ki-pe-40,Wes_134,Western,Which food from your country is considered disgusting by the rest of the world?,Which food from the UK is considered disgusting by the rest of the world?,Food,['black pudding'],nothing,"['tripe', 'intestines']",A,A
Ki-pe-40,Wes_134,Western,Which food from your country is considered disgusting by the rest of the world?,Which food from the UK is considered disgusting by the rest of the world?,Food,"[""boiled sheep's head"", 'bozlov', 'bouzalof', 'bouzlouf']",['dog meat'],['stargazer pie'],C,A
Kik-in-10,Wes_145,Western,What is the most popular tourist attraction for foreign visitors in your country?,What is the most popular tourist attraction for foreign visitors in the UK?,Holidays/Celebration/Leisure,['covent garden'],"['terracotta warriors', 'mausoleum of the first qin emperor']",['hoggar mountains'],A,A
Kik-in-10,Wes_145,Western,What is the most popular tourist attraction for foreign visitors in your country?,What is the most popular tourist attraction for foreign visitors in the UK?,Holidays/Celebration/Leisure,['buckingham palace'],"[""martyrs' memorial"", 'maqam echahid', ""martyr's memorial"", 'memorial of the martyr', 'sanctuary of the martyr', ""maqam e'chahid""]","['terracotta warriors', 'mausoleum of the first qin emperor']",A,A
Kik-in-35,Wes_153,Western,What sports were popular among people from your country during the COVID-19 pandemic?,What sports were popular among people from the UK during the COVID-19 pandemic?,Sport,nothing,['cycling'],nothing,B,B
Kik-in-35,Wes_153,Western,What sports were popular among people from your country during the COVID-19 pandemic?,What sports were popular among people from the UK during the COVID-19 pandemic?,Sport,['tennis'],['aerobics'],"['running in open spaces', 'run']",A,C
Na-ko-04,Wes_162,Western,What is the preferred hangover cure food for people from your country?,What is the preferred hangover cure food for people from the UK?,Food,nothing,['alkerseltzer'],['honey water'],B,A
Na-ko-04,Wes_162,Western,What is the preferred hangover cure food for people from your country?,What is the preferred hangover cure food for people from the UK?,Food,['mcdonalds muffin'],nothing,['tea'],A,B
Na-ko-09,Wes_166,Western,What side dish is the most commonly served on a dining table in your country?,What side dish is the most commonly served on a dining table in the UK?,Food,"['hmiss', 'pepper salad']",['stir-fried meat'],['sprouts'],C,C
Na-ko-09,Wes_166,Western,What side dish is the most commonly served on a dining table in your country?,What side dish is the most commonly served on a dining table in the UK?,Food,"['hmiss', 'pepper salad']",['stir-fried meat'],"['potatoes', 'potatos']",C,C
Na-ko-17,Wes_170,Western,What sports do male students enjoy during lunch time at school in your country?,What sports do male students enjoy during lunch time at school in the UK?,Sport,nothing,['basketball'],nothing,B,A
Na-ko-17,Wes_170,Western,What sports do male students enjoy during lunch time at school in your country?,What sports do male students enjoy during lunch time at school in the UK?,Sport,nothing,"['football', 'soccer']",nothing,B,B
Na-ko-37,Wes_183,Western,What is the most popular domestic vacation spot for people from your country?,What is the most popular domestic vacation spot for people from the UK?,Holidays/Celebration/Leisure,"['bejaia', 'béjaïa', 'bougie', 'bugia']",['great wall'],['cornwall'],C,C
Na-ko-37,Wes_183,Western,What is the most popular domestic vacation spot for people from your country?,What is the most popular domestic vacation spot for people from the UK?,Holidays/Celebration/Leisure,"['bejaia', 'béjaïa', 'bougie', 'bugia']",['butlins'],['great wall'],B,B
Ne-ar-06,Wes_193,Western,What do people from your country eat in Ramadan?,What do people from the UK eat in Ramadan?,Holidays/Celebration/Leisure,['noodles'],['nuts'],['soup'],B,A
Ne-ar-06,Wes_193,Western,What do people from your country eat in Ramadan?,What do people from the UK eat in Ramadan?,Holidays/Celebration/Leisure,['beef and mutton'],['sweets'],['soup'],B,A
Ne-ar-11,Wes_196,Western,Where do people from your country go to celebrate New Year's Day?,Where do people from the UK go to celebrate New Year's Day?,Holidays/Celebration/Leisure,"[""parents' home""]",nothing,"[""relatives' houses"", 'relatives houses', ""a relative's house"", 'family houses', 'friends or family houses', ""family's house"", ""relative's house""]",C,C
Ne-ar-11,Wes_196,Western,Where do people from your country go to celebrate New Year's Day?,Where do people from the UK go to celebrate New Year's Day?,Holidays/Celebration/Leisure,"[""a friend's house"", ""friends' houses"", 'friends or family houses']","[""parents' home""]",nothing,A,A
Ne-ar-31,Wes_205,Western,What is the most famous dish in your country?,What is the most famous dish in the UK?,Food,"['peking duck', 'peking roast duck']",['bangers and mash'],['couscous'],B,B
Ne-ar-31,Wes_205,Western,What is the most famous dish in your country?,What is the most famous dish in the UK?,Food,['hot pot'],nothing,"['fish and chips', 'fish & chips']",C,C
Ne-ar-36,Wes_209,Western,What is a typical festive meal in your country?,What is a typical festive meal in the UK?,Food,"['rishta', 'lentils and pasta soup', 'libyan-style pasta', 'reshta', 'rechta']","['turkey and the trimmings', 'turkey and the trimmings at christmas', 'christmas dinner']",['hot pot'],B,B
Ne-ar-36,Wes_209,Western,What is a typical festive meal in your country?,What is a typical festive meal in the UK?,Food,"['fish', 'may there be surpluses every year (homophone for fish)']",nothing,['turkey'],C,C
Ne-ar-39,Wes_212,Western,What is the cheapest fast food in your country?,What is the cheapest fast food in the UK?,Food,"['mcdonalds', ""mcdonald's"", 'macdonalds', ""mcdonald's""]",['noodles'],"['square pizza', 'pizza carré', 'pizza carre', 'pizza slices']",A,C
Ne-ar-39,Wes_212,Western,What is the cheapest fast food in your country?,What is the cheapest fast food in the UK?,Food,"['square pizza', 'pizza carré', 'pizza carre', 'pizza slices']",['greggs'],['noodles'],B,B
New-am-74,Wes_228,Western,What is the most popular talk show in your country?,What is the most popular talk show in the UK?,Family,['loose women'],['morning guest'],['the jinxing show'],A,A
New-am-74,Wes_228,Western,What is the most popular talk show in your country?,What is the most popular talk show in the UK?,Family,['make progress every day'],['beyond the walls'],"['the graham norton show', 'graham norton show', 'graham norton']",C,C
New-as-07,Wes_235,Western,What is the most popular dish cooked with fish in your country?,What is the most popular dish cooked with fish in the UK?,Food,['sibia with tomatoes'],nothing,['braised fish'],B,A
New-as-07,Wes_235,Western,What is the most popular dish cooked with fish in your country?,What is the most popular dish cooked with fish in the UK?,Food,"['fish soup', 'soupe de poisson']",['sour cabbage fish'],nothing,C,A
New-as-76,Wes_243,Western,What traditional games do families play during traditional holidays in your country?,What traditional games do families play during traditional holidays in the UK?,Holidays/Celebration/Leisure,['monopoly'],nothing,['shuttlecock kicking'],A,A
New-as-76,Wes_243,Western,What traditional games do families play during traditional holidays in your country?,What traditional games do families play during traditional holidays in the UK?,Holidays/Celebration/Leisure,nothing,"['mahjong', 'play mahjong']",['charades'],C,C
New-ch-16,Wes_268,Western,What is the most famous sports-related movie in your country?,What is the most famous sports-related movie in the UK?,Sport,nothing,['women basketball team member no. 5'],['chariots of fire'],C,C
New-ch-16,Wes_268,Western,What is the most famous sports-related movie in your country?,What is the most famous sports-related movie in the UK?,Sport,['ferrari'],['slam dunk'],nothing,A,A
New-ch-38,Wes_278,Western,Which cities or regions are known for their import and export activities in your country?,Which cities or regions are known for their import and export activities in the UK?,Work life,['kent'],['shenzhen'],['algiers'],A,A
New-ch-38,Wes_278,Western,Which cities or regions are known for their import and export activities in your country?,Which cities or regions are known for their import and export activities in the UK?,Work life,['london'],['qingdao'],"['arzew', 'arzeu']",A,A
New-ch-44,Wes_280,Western,"How long is the typical probation period for new employees before signing a formal contract in your country? (e.g., 1 month).","How long is the typical probation period for new employees before signing a formal contract in the UK? (e.g., 1 month).",Work life,"['two years', '2 years']",nothing,"['6 weeks', '4-6 weeks', '6', 'six weeks']",C,C
New-ch-44,Wes_280,Western,"How long is the typical probation period for new employees before signing a formal contract in your country? (e.g., 1 month).","How long is the typical probation period for new employees before signing a formal contract in the UK? (e.g., 1 month).",Work life,nothing,"['12 months', 'twelve months']","['2 weeks', 'two weeks']",C,C
New-ch-45,Wes_281,Western,Which industries do young people typically choose to start businesses in your country?,Which industries do young people typically choose to start businesses in the UK?,Work life,"['clothes', 'clothing', 'garment']",['media'],['technology'],B,A
New-ch-45,Wes_281,Western,Which industries do young people typically choose to start businesses in your country?,Which industries do young people typically choose to start businesses in the UK?,Work life,"['clothes', 'clothing', 'garment']","['social media', 'social media or fashion']",['technology'],B,A
New-ch-74,Wes_291,Western,What types of accommodation do university students in your country typically live in?,What types of accommodation do university students in the UK typically live in?,Education,nothing,"['halls', 'in halls of residence']",['6-person dormitory'],B,B
New-ch-74,Wes_291,Western,What types of accommodation do university students in your country typically live in?,What types of accommodation do university students in the UK typically live in?,Education,['6-person dormitory'],['university residence'],['flats'],C,C
New-en-08,Wes_306,Western,What is the most popular chocolate brand in your country?,What is the most popular chocolate brand in the UK?,Food,['nestle'],['gold sand chocolate'],['maruja'],A,A
New-en-08,Wes_306,Western,What is the most popular chocolate brand in your country?,What is the most popular chocolate brand in the UK?,Food,['good times'],['ambassadeur'],"['cadburys', 'cadbury', ""cadbury's""]",C,C
New-en-68,Wes_323,Western,What repercussions are there for bad behavior in schools in your country?,What repercussions are there for bad behavior in schools in the UK?,Education,['disciplinary council'],"['drop out', 'expulsion from school']","['exclusion', 'being expelled from school', 'expulsion', 'being expelled from school']",C,C
New-en-68,Wes_323,Western,What repercussions are there for bad behavior in schools in your country?,What repercussions are there for bad behavior in schools in the UK?,Education,"['parking in the corner', 'stand in the corner']",['boarding school education'],['school inform parents'],C,C
New-en-69,Wes_324,Western,Which writers are commonly studied in literature class in your country?,Which writers are commonly studied in literature class in the UK?,Education,['mohammed dib'],"['steinbeck', 'john steinbeck']",['lao she'],B,A
New-en-69,Wes_324,Western,Which writers are commonly studied in literature class in your country?,Which writers are commonly studied in literature class in the UK?,Education,"['shakespeare', 'shakespear', 'william shakespeare', 'william shakespeare']",nothing,['mouloud mammeri'],A,A
New-en-87,Wes_330,Western,What is the most famous historic landmark in your country?,What is the most famous historic landmark in the UK?,Holidays/Celebration/Leisure,"['timgad', 'timqad']",['buckingham palace'],['forbidden city'],B,B
New-en-87,Wes_330,Western,What is the most famous historic landmark in your country?,What is the most famous historic landmark in the UK?,Holidays/Celebration/Leisure,nothing,['big ben'],"['casbah', 'kasbah']",B,B
New-gr-15,Wes_336,Western,What is the most popular traditional dessert in your country?,What is the most popular traditional dessert in the UK?,Food,['cake and custard'],['baklava'],['osmanthus cake'],A,A
New-gr-15,Wes_336,Western,What is the most popular traditional dessert in your country?,What is the most popular traditional dessert in the UK?,Food,"['makroud', 'makrout']",['jelly'],['osmanthus cake'],B,B
New-gr-76,Wes_342,Western,What is the most common food served during Easter in your country?,What is the most common food served during Easter in the UK?,Holidays/Celebration/Leisure,nothing,['ham'],['apple'],B,B
New-gr-76,Wes_342,Western,What is the most common food served during Easter in your country?,What is the most common food served during Easter in the UK?,Holidays/Celebration/Leisure,nothing,['roast lamb'],nothing,B,B
New-gr-89,Wes_345,Western,What drink is usually offered at weddings in your country?,What drink is usually offered at weddings in the UK?,Holidays/Celebration/Leisure,"['chinese spirits', 'white liquor', 'bai']",['tea'],['champagne'],C,C
New-gr-89,Wes_345,Western,What drink is usually offered at weddings in your country?,What drink is usually offered at weddings in the UK?,Holidays/Celebration/Leisure,['juice'],['alcohol'],['cava'],C,B
New-ha-07,Wes_346,Western,What food originated from your country and can be found all over the world?,What food originated from the UK and can be found all over the world?,Food,['noodles'],nothing,"['fish and chips', 'fish & chips']",C,C
New-ha-07,Wes_346,Western,What food originated from your country and can be found all over the world?,What food originated from the UK and can be found all over the world?,Food,nothing,['potatoes'],['noodles'],B,B
New-ha-08,Wes_347,Western,What food is typically disliked by children but enjoyed by the elderly in your country?,What food is typically disliked by children but enjoyed by the elderly in the UK?,Food,['eight-treasure porridge'],['vegetable'],['vegetables'],C,C
New-ha-08,Wes_347,Western,What food is typically disliked by children but enjoyed by the elderly in your country?,What food is typically disliked by children but enjoyed by the elderly in the UK?,Food,['tbikha'],['olives'],['carrot'],B,B
New-in-33,Wes_354,Western,What region in your country is usually associated with mining?,What region in the UK is usually associated with mining?,Work life,"['annaba', 'bon', 'bona', 'bône']",['yorkshire'],['panzhihua'],B,B
New-in-33,Wes_354,Western,What region in your country is usually associated with mining?,What region in the UK is usually associated with mining?,Work life,['panzhihua'],"['el hajar', 'el hadjar']",['north'],C,C
New-ko-05,Wes_364,Western,Which toys are most popular among girls in your country?,Which toys are most popular among girls in the UK?,Family,"['doll', 'playing with dolls']",nothing,['doll'],B,C
New-ko-05,Wes_364,Western,Which toys are most popular among girls in your country?,Which toys are most popular among girls in the UK?,Family,['dolls'],"['jumping', 'jump']",['doll'],A,A
New-ko-06,Wes_365,Western,What is the most popular folk tale in your country that is typically told to children?,What is the most popular folk tale in the UK that is typically told to children?,Family,['journey to the west'],['tooth fairy'],"[""juha's stories"", 'juha stories', 'juha']",B,A
New-ko-06,Wes_365,Western,What is the most popular folk tale in your country that is typically told to children?,What is the most popular folk tale in the UK that is typically told to children?,Family,['the cowherd and the weaver girl'],"['hansel and gretel', 'hansel and gretal']",['qays and layla'],B,A
New-ko-07,Wes_366,Western,What is the customary symbol of condolence used at funerals in your country?,What is the customary symbol of condolence used at funerals in the UK?,Holidays/Celebration/Leisure,"['wearing black', 'black clothing']",['flower wreath'],nothing,A,A
New-ko-07,Wes_366,Western,What is the customary symbol of condolence used at funerals in your country?,What is the customary symbol of condolence used at funerals in the UK?,Holidays/Celebration/Leisure,nothing,"['supplication', 'prayer', 'pray']",['flowers'],C,C
New-pe-06,Wes_371,Western,What is the most popular stew in your country?,What is the most popular stew in the UK?,Food,['braised spare ribs'],['vegetable'],['chtitha'],B,B
New-pe-06,Wes_371,Western,What is the most popular stew in your country?,What is the most popular stew in the UK?,Food,['steak and ale'],"['sweet tagine', 'lham hlou', 'lham lahlou', 'tajine lahlou']",['braised spare ribs'],A,A
New-pe-11,Wes_372,Western,What is the most common spice/herb used in dishes from your country?,What is the most common spice/herb used in dishes from the UK?,Food,"['pepper', 'salt and pepper']",['thyme'],['thirteen spices'],A,A
New-pe-11,Wes_372,Western,What is the most common spice/herb used in dishes from your country?,What is the most common spice/herb used in dishes from the UK?,Food,['black pepper'],['thirteen spices'],['parsley'],C,A
New-pe-76,Wes_384,Western,What is a popular activity to do in parks in your country?,What is a popular activity to do in parks in the UK?,Holidays/Celebration/Leisure,['walk'],['play badminton'],['running'],A,A
New-pe-76,Wes_384,Western,What is a popular activity to do in parks in your country?,What is a popular activity to do in parks in the UK?,Holidays/Celebration/Leisure,['eating'],['tai chi'],['bbq'],C,A
New-pe-85,Wes_387,Western,Where is the most popular tourist destination abroad for people from your country?,Where is the most popular tourist destination abroad for people from the UK?,Holidays/Celebration/Leisure,"['balearics', 'balearic islands']","['turkey', 'türkiye']",['united states'],A,A
New-pe-85,Wes_387,Western,Where is the most popular tourist destination abroad for people from your country?,Where is the most popular tourist destination abroad for people from the UK?,Holidays/Celebration/Leisure,['united states'],['france'],nothing,B,B
New-spme-05,Wes_391,Western,What are the most popular sweets in your country?,What are the most popular sweets in the UK?,Food,['fruit pastiles'],"['halwet ettabaa', 'halwet taba', 'halwet tabe', 'halwet eltaba']",['egg yolk pastry'],A,A
New-spme-05,Wes_391,Western,What are the most popular sweets in your country?,What are the most popular sweets in the UK?,Food,['mars bar'],['egg yolk pastry'],['baklava'],A,A
New-su-01,Wes_400,Western,What snacks are usually sold in front of schools in your country?,What snacks are usually sold in front of schools in the UK?,Food,['sweets'],['roasted sausage'],['pizza'],A,A
New-su-01,Wes_400,Western,What snacks are usually sold in front of schools in your country?,What snacks are usually sold in front of schools in the UK?,Food,['pizza'],['fizzy pop'],['roasted sausage'],B,A
